"id","aoguid","shortname","offname"
164,"2135a174-e6bd-4719-8969-8fe13a6c076f",ул,Парфенова
165,"2170e88d-e5a6-4104-89b7-df291273c92b",ул,Агеева
166,"217428dc-75d3-47fe-bef2-f2652d23a71e",ул,Затюменская
167,"218ea4a5-57b9-4421-bfb5-43d10f6d84e3",пер,Пристанский
168,"21b52742-e756-4f3e-b045-39339c499e1a",ул,Александра Сазонова
169,"21bbb4d8-f80d-4099-9b45-28bbf7721a72",ул,Городищенский Лог
170,"221d5e83-6282-4573-adf9-acf6c89f0e75",ул,"5-я Элеваторная"
171,"222ed15e-3796-4007-a38e-7356db7b3648",ул,Конституции
172,"222ee2d9-1ef1-48a5-a3d7-3404c4785edd",проезд,Юганский
173,"22616572-77ca-47f7-908f-f24e4cc7be90",ул,Весенняя
174,"22c2d1df-a2fc-4bd9-88a9-0c993efff888",ул,Шахтеров
175,"22d43764-0085-470c-9aba-1696cb63a481",проезд,"2-й Земской"
176,"23663d26-eb6f-4d77-95c3-3aae89ccb8de",ул,Рощинская
177,"238ddbe3-556d-4042-bfa0-2c892be52a9a",ул,Героев Сталинградской битвы
178,"23d253cf-e5ad-40ad-87de-217e607bf332",ул,Николая Семенова
179,"240a4dc4-6083-4101-b9d6-4ace0b75b088",пер,Короткий
180,"242b571e-cc8f-4252-ba0f-3732867ca68e",ул,Розы Трениной
181,"2430254c-a87b-425f-9ea1-64f4f87d48a5",ул,Масловский взвоз
182,"243a8c81-c3b9-454b-919a-f7c34f31f314",ул,Малиновая
183,"24649734-9dc6-4ded-aa82-235cad50e347",ул,Институтская
184,"247cf08c-7b33-4a7e-bd5c-7566cc68a579",ул,Ачинская
185,"24cb251a-7772-438b-bf1a-f8e158ab3d2f",ул,Богандинская
186,"24cc43a4-95b6-4197-a3d3-68f87c08d616",ул,Черняховского
187,"24e495d2-3817-47d1-9fba-b3bc9cb63aae",тракт,Салаирский 7 км
188,"2500de98-5042-4635-bc10-15bcb3c3595d",ул,Студенческая
189,"25305c4d-cfe2-4304-ba8b-2c44c5a1d159",ул,Междуреченская
190,"255e822c-66dd-4a80-b9ad-a20d071bacf7",ул,Измайловская
191,"25a876a9-ddac-407d-8b3d-a45724131f42",ул,Петербургская
192,"25d69b8c-07d6-4861-9a97-beed24aacd6a",ул,Степана Разина
193,"2605aad0-ab92-4856-bf89-65be737bf184",ул,Обская
194,"26459591-3d0d-45ed-9512-3925108cee80",ул,Коммуны
195,"265f5034-557e-41ff-8c2e-cd0753dd02ba",проезд,"3-й Престольный"
196,"2661a5ea-a4d1-416a-96da-9f2f746b0b81",тракт,Салаирский 1 км
197,"26cd3ee4-eb69-46ac-bf65-e9757eab7683",ул,Тимофея Несговорова
198,"26d8c364-5db7-4980-8045-4f208ade938f",ул,Лучистая
199,"26e47e37-024c-4bda-bd8b-f531e498ba07",проезд,"3-й Избышевский"
200,"26eb4688-6fe5-4597-9a47-2aa52cf1c680",ул,поэта Габдуллы Тукая
201,"26f6d433-1945-4062-828d-b38596882549",ул,Степная
202,"2732a3b5-f180-4212-a6da-d6aa61c49446",ул,Алексея Первухина
203,"276a2319-e17c-43f7-9e58-88f4c3e9fc75",ул,Планетарная
204,"278422de-4a11-475b-b356-adaf439c7c0e",ул,разведчика Кузнецова
205,"2842eedf-85a6-489c-abfa-fcece2dc0299",ул,Радистов
206,"298b668f-31f6-4d76-b64b-bcc2aac862ce",ул,Оболенского
207,"29b0db60-130c-4091-aa55-d3716e611d46",тракт,Салаирский 3 км
208,"29b77bd8-d6a7-41bc-ad97-1a63ff68a935",ул,Поликарпа Прокопьева
209,"29bf22a7-bb8a-4b41-a882-e0f09bbe8622",ул,Краснооктябрьская
210,"29c677c6-e994-4471-9f94-5bb6be4dfc6a",проезд,"3-й Посадский"
211,"29e63aeb-4630-4a14-8b57-804516845d14",ул,Речная
212,"2a31c448-f233-4759-bcd4-8a454ea0d95f",проезд,Гимнастический
213,"2a373ce5-c98e-4c0e-98b2-6e390a36e01a",ул,Смоленская
214,"2a381cf1-7eb9-4886-90c0-ea2000060a99",ул,Пшеничная
215,"2a419dff-5509-4601-8e47-953821fa03da",ул,Крещенская
216,"2a593671-4b73-45a8-87b0-9c7f4309d885",ул,Гастелло
217,"2a5a1da7-4720-45b3-9a35-6eabe71510e6",ул,Югорская
218,"2a5bcf8a-68fe-48f1-8825-2eb63073df41",ул,Заозерная
219,"2a5c17a2-acc8-4238-88f5-bbf3fd493d19",ул,Коммунистическая
220,"2a798986-261e-4cda-a0d1-9f81e68aba02",ул,Блюхера
221,"2abcfeb9-4c33-4534-acf1-75f35b9bd9f0",ул,Застройщиков
222,"2abe8d24-a802-48ee-b46a-104e3b4f9a63",ул,Дорожная
223,"2b3f50a3-33e6-4fbb-a758-c925fc1bf9ae",пер,"1-й Гагарина"
224,"2b50d7ff-f6bf-4ac8-8ce3-935fdf23665c",ул,Кузнечная
225,"2b5c6c0a-0c0b-467d-9608-99f9303c92db",ул,Фурманова
226,"2b6d5651-5078-4af9-82d8-9f3e10fbc619",проезд,Ладожский
227,"2b97a48b-3ff3-483f-beea-40f03067b7d1",пер,Дачный
228,"2bc6422a-a99a-4d10-b3cc-9d3c275a6a07",ул,Инженерная
229,"2bf6b2d8-06f9-47f4-9c10-badd78b7619a",ул,Индустриальная
230,"2c1c6ece-21d1-4831-9b0d-c08ead5fedef",ул,Якутская
231,"2c424eca-152c-4772-861b-ddd632aee564",ул,Изобильная
232,"2c54d32c-c12e-47a9-9738-3881e6802fff",пер,Дунайский
233,"2c980520-0b90-4012-bc74-df4cc5548b2a",ул,Зайковская
234,"2cdabf6c-6161-4fa9-b692-d499d0520212",ул,Санаторная
235,"2d4cd9af-ed62-497d-8de5-4e1ac1833611",тракт,Велижанский
236,"2d7afaef-9564-4b08-a377-0f3be1d1a593",ул,Челюскинцев
237,"2d8a3c68-5298-4676-8b49-2f47633bdc95",пер,Видный
238,"2d905e1a-5e71-47c7-a45d-c60aa8ccfb67",ул,Тихая
239,"2dcbcbbe-b2a2-487e-8d8a-eabce299c0fa",ул,Викуловская
240,"2dfdabb0-4b11-481d-9706-c85c377740b9",ул,Киевская
241,"2e112fb2-7b7d-4df2-97ef-4fd722224d6d",ул,Ратная
242,"2e1af093-16d9-4863-bff2-eb6a99c1a159",ул,"25 Октября"
243,"2e30468e-9d3f-460d-bfd1-b112f08901aa",пер,Травный
244,"2e6ac87e-a1c2-4ae0-aa6e-f9be593fe8e1",пер,Бабушкина
245,"2e76932c-8496-424c-8e86-ca638c8495c0",ул,Брестская
246,"2ea34bb0-7672-4806-abc8-a205539e0b30",ул,Пограничников
247,"2ea365c4-93f8-4d88-9567-63a1dda7e3a9",ул,Камышинская
248,"2f7524d3-35ce-425f-aabe-5c6549b9027b",пер,Новаторский
249,"2fc3706c-5e05-42d0-bc17-396aff2a7efb",ул,"2-я Элеваторная"
250,"2fd57aa3-745a-4f39-a42d-c80229e6680b",проезд,Пограничников
251,"300070e2-1e28-4364-ab1e-7597f1544b28",ул,Покровская
252,"300c1359-169c-47a6-90e5-e63458c5af3b",ул,Земная
253,"303d6359-9e96-429a-94e0-8cd2c306f313",ул,Рощинское Шоссе
254,"30b2ac18-3b19-4145-ad7e-78ad17fc9bf2",пер,Безноскова
255,"30b3c392-bc2c-46f8-b6ef-cd1f19d9c610",ул,Самарская
256,"30c14e21-5648-48c8-88e5-081305eaf43b",ул,Поперечная
257,"30c17366-3a24-4e9a-9917-f55c884e288e",ул,Бакинских Комиссаров
258,"30cdff81-8348-4e8d-af16-23297f8a80c4",ул,Вербная
259,"30dc1826-6e9e-40b8-9a9e-cc75cd80085c",ул,Облепиховая
260,"30e94315-b35a-4a28-9b66-3ca4b9643159",ул,Академическая
261,"311b328f-b19d-4534-b4cd-c1e068ae6500",ул,Дмитрия Носова
262,"313a0797-0ba1-4634-be54-ef66bdeeb078",проезд,"2-й Престольный"
263,"31575e9b-d914-4b44-a3a1-a457232c0da0",пер,"7-й Степной"
264,"316010b1-ed23-41c2-ad6c-c0d49b4fd16f",ул,Нефтеюганская
265,"318991f7-409b-4899-a1fc-ca32b1c978c7",ул,Зои Космодемьянской
266,"31eddcc8-7a98-465a-b49f-e8db30d72e3b",пер,Майский
267,"31f020f3-dc4b-40cf-b9f5-697655c92775",ул,Кленовая
268,"3283b329-8437-4901-a29a-a2fcc4657b9a",ул,Михаила Пришвина
269,"32c4c375-be64-4cc9-9802-2615cd121c1a",ул,Прибрежная
270,"32c629b7-3e8a-4d7f-8804-8f9638c797f2",тракт,Ялуторовский
271,"32da28a4-da4c-4e1b-813e-810c1c4c46cf",ул,Омутинская
272,"3349d09b-2074-4c93-b846-e333d994e150",пер,Каменогорский
273,"334b1fd7-3ea9-4d56-9f19-faa65a77d753",ул,Комсомольская
274,"33731551-535e-47d8-8303-1a1d723bbca4",пер,Актюбинский
275,"3399c166-4cf6-43cf-a395-7605e066a4de",ул,Каспийская
276,"33aa7adb-7430-4698-b1f5-3321570effaf",ул,Буковая
277,"33d43e7b-bc78-4231-8e0a-1f7233751b68",ул,Хабибуллы Якина
278,"33e999b7-1843-4c31-b9af-f07f8eacb8c9",ул,Карагандинская
279,"33f47ec2-1d3b-45bc-ab4a-3bb11c741766",ул,Серова
280,"33ff1f3c-e4b5-4702-8044-ee9a1747821a",ул,Томская
281,"341ba0b8-ceab-42e1-a416-00984fcb6040",ул,Туристская
282,"342acd0c-9f5b-4cf1-9d39-630f00cb4254",ул,Малая Боровская
283,"344b8e27-473e-41a4-9a87-04919af7d73c",ул,Муравьева
284,"34593c0f-6413-4468-b57a-d87dc2b7612a",ул,Голышева
285,"347a8d09-7a32-4919-af5f-d646a6c64644",ул,Орловская
286,"348c11e4-04ee-4460-8f24-cf74f2ba6935",ул,Брусничная
287,"3511b0ea-6984-4a62-8c2c-b1149d8678eb",ул,Перекопская
288,"35535c91-3f37-48eb-b171-439b3fcf6222",ул,Ясная поляна
289,"3596bc77-7af5-4f7e-90fb-062804d6c754",ул,Авторемонтная
290,"35a24063-64b3-4c34-a591-0cad48b24728",ул,Волжская
291,"35d05cd5-9428-4bcd-b4f3-45d89c387e6e",ул,Александра Логунова
292,"35d0b5f1-6dd9-48a5-b553-2f454bf5a98b",ул,Володарского
293,"36764dd0-5349-4856-9ddd-af0b772fb098",ул,Хантыйская
294,"367ee63b-6deb-42c0-b0c6-d5a914a664c5",ул,Отрадная
295,"3690ee57-2f4a-4b80-a8d7-22a24b5bdbd0",пер,Авиации
296,"369c1748-6328-492c-a29f-b1a8ad96f75d",ул,Кристальная
297,"36a41542-ff3b-4b02-951c-aa8d9e10df07",ул,поэта Мусы Джалиля
298,"36c78cea-a90e-4c46-88d1-f10e2dcfaf12",ул,Новоселов
299,"36dd498c-bfd7-42af-9922-020f46049a6f",пер,Больничный
300,"37021157-193f-4d1c-a1f2-4d185b78bb4a",ул,"3-я Западная"
301,"379acb82-5b00-487e-b282-8132844642ee",ул,Пригородная
302,"37a304be-04af-4974-a3b9-a7ffd213dde1",ул,Суходольская
303,"37dc7701-672d-4450-b5f1-93a9a63be27c",ул,Баумана
304,"38476cd7-9668-46e5-b970-7de3c2437827",ул,Петра Бабичева
305,"38fddf52-976d-4415-86f1-eb901cdc4eee",тракт,Ялуторовский 11 км
306,"3919640e-f2fc-4273-9a6b-c394f9b04295",ул,Западная
307,"394e9963-e21c-4815-99ce-a4df54a194c2",ул,Рассветная
308,"39583c3f-b1e2-4c91-b6fc-4e1c3699e11e",ул,Тульская
309,"39ae0023-3c30-4795-b9a1-57b15a4909f1",ул,Рублевская
310,"39c12112-8fdb-4e7f-9f21-32ade49c93e3",проезд,Борцов Октября
311,"39eb21a9-2049-417a-b62d-db28cd5fb4e1",ул,Виктора Бугаева
312,"3a123718-5157-4458-a77e-624d5e5e4f35",ул,Сидора Путилова
313,"3a138b0a-712a-4aab-83df-e6d2d879ecf1",ул,Олега Кошевого
314,"3a5a87be-8511-49f3-9af7-d8b3fc5b1c8a",ул,Байкальская
315,"3a7f8f30-ff7e-4a74-b193-aebda67bab95",ул,Клеверная
316,"3aacc9e6-e08d-4010-a39e-24488873c206",ул,"50 лет Октября"
317,"3b5e1858-542b-4156-8a44-93e80a166bfd",ул,Григория Алексеева
318,"3b9f509d-7fa5-4683-908a-cf1d5c8c5d6f",ул,Урожайная
319,"3b9f8d2d-235e-4522-b61c-fe38c30708eb",тракт,Салаирский 4 км
320,"3ba7b91c-16b3-41f1-8d65-99944d87ef26",ул,Черепанова
321,"3bded7bc-dde6-4c9b-a819-c2755d87c17f",ул,Самарцева
322,"3c219311-8a71-403d-9294-8d6a7542028c",ул,Газовиков
323,"3c4598e2-5efb-4323-b30d-39fda03bb08c",ул,Огарева
324,"3cc15168-b432-470a-8407-3d5f6340d7ff",ул,Виктора Худякова
325,"3cde927a-eba4-4169-a8c6-e6c1dcf271d3",ул,Маршака
326,"3cf72574-8dee-4bdd-9225-a534e526f453",ул,Монтажников
327,"3d087312-5bb6-403d-9937-a72da5a54243",ул,"4-я Элеваторная"
328,"3dfbe84a-83da-4306-8d64-fa7a098b4afe",ул,Казаровская
329,"3e65c0c5-3630-40ff-8fc9-53d078a386ce",ул,Мальковская
330,"3e78870c-d380-4ba8-95e7-551e319e1e22",пер,Ракетный
331,"3ea7a5b8-7537-4702-8769-d1c66b19c465",ул,Полетаева
332,"3ebdf77a-0f84-4627-ab65-2413f0b56fba",ул,Братьев Бондаревых
333,"3f06b77d-fab7-4f5d-aee3-0ba309b80a3c",ул,Олега Антонова
334,"3f6d95c9-1dc1-4240-b21c-47f3beb14c89",ул,Доронина
335,"3f899279-6bf2-4fb8-8bf5-608d193d59b2",пер,Молодогвардейцев
336,"3f8ddce0-82a1-41de-94ec-f54bbfcd156e",пер,Звездный
337,"3fc66ece-7139-44e8-9b48-044a9d1bcabb",проезд,Солнечный
338,"3fc7c327-401f-481d-a810-6ac97e34bed9",ул,Олимпийская
339,"3fd85663-784d-4713-93af-789e865e742e",ул,Гражданская
340,"4015ce85-f334-4ed2-b481-6266f02977c9",ул,Гуляева
341,"403da81d-7077-4ba4-a76f-a1e4ade21858",ул,Чернышевского
342,"403fe88a-944d-48e1-b4aa-293c041ab2bc",ул,Лермонтова
343,"40b6b9f2-b39a-4b84-a0cd-14c9cacd59d1",проезд,Заречный
344,"4140baae-5f57-4a17-819f-f95c89c6815f",ул,Кулибина
345,"4161382e-98ac-4a9e-b458-0cf342274656",ул,Валерия Григорьева
346,"4178166d-14ac-421e-95cf-2f0452199e0b",ул,Северная
